address	type	comment
10046418	PRE	418  HeapReAlloc  <<not bound>>
1004641c	PRE	432  InterlockedIncrement  <<not bound>>
10046420	PRE	501  OutputDebugStringA  <<not bound>>
10046424	PRE	429  InterlockedDecrement  <<not bound>>
10046428	PRE	735  WriteFile  <<not bound>>
1004642c	PRE	338  GetStdHandle  <<not bound>>
10046430	PRE	81  DebugBreak  <<not bound>>
10046434	PRE	292  GetModuleFileNameA  <<not bound>>
10046438	PRE	559  RtlUnwind  <<not bound>>
1004643c	PRE	440  IsBadWritePtr  <<not bound>>
10046440	PRE	437  IsBadReadPtr  <<not bound>>
10046444	PRE	423  HeapValidate  <<not bound>>
10046448	PRE	125  ExitProcess  <<not bound>>
1004644c	PRE	670  TerminateProcess  <<not bound>>
10046450	PRE	247  GetCurrentProcess  <<not bound>>
10046454	PRE	202  GetCommandLineA  <<not bound>>
10046458	PRE	385  GlobalAlloc  <<not bound>>
1004645c	PRE	450  LoadLibraryA  <<not bound>>
10046460	PRE	250  GetCurrentThreadId  <<not bound>>
10046464	PRE	318  GetProcAddress  <<not bound>>
10046468	PRE	294  GetModuleHandleA  <<not bound>>
1004646c	PRE	282  GetLastError  <<not bound>>
10046470	PRE	577  SetConsoleCtrlHandler  <<not bound>>
10046474	PRE	625  SetLastError  <<not bound>>
10046478	PRE	677  TlsSetValue  <<not bound>>
1004647c	PRE	674  TlsAlloc  <<not bound>>
10046480	PRE	675  TlsFree  <<not bound>>
10046484	PRE	676  TlsGetValue  <<not bound>>
100464f0	PRE	89  CreateWindowExA  <<not bound>>
100464f4	PRE	657  UpdateWindow  <<not bound>>
100464f8	PRE	142  DestroyWindow  <<not bound>>
100464fc	PRE	560  SetForegroundWindow  <<not bound>>
10046500	PRE	614  ShowCursor  <<not bound>>
10046504	PRE	618  ShowWindow  <<not bound>>
10046538	PRE	47  _grHints@8  <<not bound>>
1004653c	PRE	82  _grTexDownloadMipMap@16  <<not bound>>
10046540	PRE	90  _grTexMinAddress@4  <<not bound>>
10046544	PRE	89  _grTexMaxAddress@4  <<not bound>>
10046548	PRE	46  _grGlideShutdown@0  <<not bound>>
1004654c	PRE	65  _grSstQueryBoards@4  <<not bound>>
10046550	PRE	43  _grGlideInit@0  <<not bound>>
10046554	PRE	66  _grSstQueryHardware@4  <<not bound>>
10046558	PRE	51  _grLfbReadRegion@28  <<not bound>>
1004655c	PRE	95  _grTexSource@16  <<not bound>>
10046560	PRE	34  _grDrawPolygonVertexList@8  <<not bound>>
10046564	PRE	2  _grAADrawPoint@4  <<not bound>>
10046568	PRE	32  _grDrawPoint@4  <<not bound>>
1004656c	PRE	1  _grAADrawLine@8  <<not bound>>
10046570	PRE	29  _grDrawLine@8  <<not bound>>
10046574	PRE	35  _grDrawTriangle@12  <<not bound>>
10046578	PRE	75  _grSstWinClose@0  <<not bound>>
1004657c	PRE	13  _grBufferSwap@4  <<not bound>>
10046580	PRE	61  _grSstIdle@0  <<not bound>>
10046584	PRE	11  _grBufferClear@12  <<not bound>>
10046588	PRE	70  _grSstSelect@4  <<not bound>>
1004658c	PRE	76  _grSstWinOpen@28  <<not bound>>
10046590	PRE	36  _grErrorSetCallback@4  <<not bound>>
10046594	PRE	27  _grDisableAllEffects@0  <<not bound>>
