address	length	data_type	value
1003799c	24	string	portuguese-brazilian
100379b4	20	string	norwegian-nynorsk
100379c8	20	string	norwegian-bokmal
100379dc	12	string	norwegian
100379e8	16	string	italian-swiss
100379f8	16	string	irish-english
10037a08	16	string	german-swiss
10037a18	20	string	german-luxembourg
10037a2c	20	string	german-lichtenstein
10037a40	16	string	german-austrian
10037a50	16	string	french-swiss
10037a60	20	string	french-luxembourg
10037a74	16	string	french-canadian
10037a84	16	string	french-belgian
10037a94	12	string	english-usa
10037aa0	12	string	english-us
10037aac	12	string	english-uk
10037ab8	28	string	english-trinidad y tobago
10037ad4	24	string	english-south africa
10037aec	12	string	english-nz
10037af8	16	string	english-jamaica
10037b08	12	string	english-ire
10037b14	20	string	english-caribbean
10037b28	12	string	english-can
10037b34	16	string	english-belize
10037b44	12	string	english-aus
10037b50	20	string	english-american
10037b64	16	string	dutch-belgian
10037b74	20	string	chinese-traditional
10037b88	20	string	chinese-singapore
10037b9c	20	string	chinese-simplified
10037bb0	20	string	chinese-hongkong
10037bc4	8	string	chinese
10037bd4	12	string	canadian
10037be0	8	string	belgian
10037be8	12	string	australian
10037bf4	20	string	american-english
10037c08	20	string	american english
10037c1c	9	string	american
10037c30	8	string	H:mm:ss
10037c38	20	string	dddd, MMMM dd, yyyy
10037c4c	7	string	M/d/yy
10037c5c	9	string	December
10037c68	9	string	November
10037c74	8	string	October
10037c7c	10	string	September
10037c88	7	string	August
10037ca0	6	string	April
10037ca8	6	string	March
10037cb0	9	string	February
10037cbc	8	string	January
10037cf4	9	string	Saturday
10037d00	7	string	Friday
10037d08	9	string	Thursday
10037d14	10	string	Wednesday
10037d20	8	string	Tuesday
10037d28	7	string	Monday
10037d30	7	string	Sunday
10037d58	6	string	am/pm
10037d60	11	string	inithelp.c
10037d88	24	string	SunMonTueWedThuFriSat
10037da0	40	string	JanFebMarAprMayJunJulAugSepOctNovDec
10037dc8	8	string	tzset.c
10037df4	11	string	wtombenv.c
10037e00	8	string	a_cmp.c
