address	length	data_type	value
10052ff8	13	string	SST_DUALHEAD
10053008	67	string	Memmap returned an error trying to map physical to linear memory.\n
1005304c	59	string	Is Memory Address & Count setup properly in the Registry?\n
10053088	17	string	\\\\.\\FXMEMMAP.VXD
1005309c	80	string	Memmap initialization failure.\nMake sure the Memmap VxD is properly installed.\n
1005310c	22	string	ENV VAR:%s  VALUE:%s\n
10053124	24	string	DAC MANU:%s  DEVICE:%s\n
1005313c	10	string	\tDetect:\n
1005314c	27	string	\tsetVideo (%dx%d @ %d Hz)\n
1005316c	21	string	\tsetMemClk (%d MHz)\n
10053194	16	string	MANUFACTURER
100531a8	8	string	DEVICE
100531b4	8	string	DETECT
