address	type	category	comment
00474290	Analysis	Found Code	Found code from operand reference
00474d20	Analysis	Found Code	Found code from operand reference
004768a0	Analysis	Found Code	Found code from operand reference
0047ab02	Analysis	Found Code	Found code from operand reference
0047ab20	Analysis	Found Code	Found code from operand reference
00481f20	Analysis	Found Code	Found code from operand reference
00481f80	Analysis	Found Code	Found code from operand reference
00483850	Analysis	Found Code	Found code from operand reference
00483ac0	Analysis	Found Code	Found code from operand reference
00483b40	Analysis	Found Code	Found code from operand reference
00483bf0	Analysis	Found Code	Found code from operand reference
00484570	Analysis	Found Code	Found code from operand reference
004845c0	Analysis	Found Code	Found code from operand reference
00484600	Analysis	Found Code	Found code from operand reference
00484910	Analysis	Found Code	Found code from operand reference
00484960	Analysis	Found Code	Found code from operand reference
00484a90	Analysis	Found Code	Found code from operand reference
00484af0	Analysis	Found Code	Found code from operand reference
00484b20	Analysis	Found Code	Found code from operand reference
00484b30	Analysis	Found Code	Found code from operand reference
00484b40	Analysis	Found Code	Found code from operand reference
00486370	Analysis	Found Code	Found code from operand reference
00486860	Analysis	Found Code	Found code from operand reference
004868c0	Analysis	Found Code	Found code from operand reference
00489360	Analysis	Found Code	Found code from operand reference
0048a950	Analysis	Found Code	Found code from operand reference
0048b530	Analysis	Found Code	Found code from operand reference
0048b650	Analysis	Found Code	Found code from operand reference
0048c7a0	Analysis	Found Code	Found code from operand reference
0048c840	Analysis	Found Code	Found code from operand reference
0048c900	Analysis	Found Code	Found code from operand reference
0048c950	Analysis	Found Code	Found code from operand reference
0048cc60	Analysis	Found Code	Found code from operand reference
0048d370	Analysis	Found Code	Found code from operand reference
0048d520	Analysis	Found Code	Found code from operand reference
0048d670	Analysis	Found Code	Found code from operand reference
0048dbb0	Analysis	Found Code	Found code from operand reference
0048dfc0	Analysis	Found Code	Found code from operand reference
0048dfe0	Analysis	Found Code	Found code from operand reference
0048ebc0	Analysis	Found Code	Found code from operand reference
0048ed70	Analysis	Found Code	Found code from operand reference
00490bb0	Analysis	Found Code	Found code from operand reference
00491620	Analysis	Found Code	Found code from operand reference
00491920	Analysis	Found Code	Found code from operand reference
00491e40	Analysis	Found Code	Found code from operand reference
00491eb0	Analysis	Found Code	Found code from operand reference
00492de0	Analysis	Found Code	Found code from operand reference
00492df0	Analysis	Found Code	Found code from operand reference
00492e10	Analysis	Found Code	Found code from operand reference
004934f0	Analysis	Found Code	Found code from operand reference
00493670	Analysis	Found Code	Found code from operand reference
00493b20	Analysis	Found Code	Found code from operand reference
00493b40	Analysis	Found Code	Found code from operand reference
00493b60	Analysis	Found Code	Found code from operand reference
00495b10	Analysis	Found Code	Found code from operand reference
00496650	Analysis	Found Code	Found code from operand reference
00496690	Analysis	Found Code	Found code from operand reference
004977b0	Analysis	Found Code	Found code from operand reference
004977c0	Analysis	Found Code	Found code from operand reference
00499dd0	Analysis	Found Code	Found code from operand reference
00499de0	Analysis	Found Code	Found code from operand reference
00499e10	Analysis	Found Code	Found code from operand reference
00499e50	Analysis	Found Code	Found code from operand reference
00499f00	Analysis	Found Code	Found code from operand reference
00499f60	Analysis	Found Code	Found code from operand reference
0049a520	Analysis	Found Code	Found code from operand reference
0049a540	Analysis	Found Code	Found code from operand reference
0049acf0	Analysis	Found Code	Found code from operand reference
0049ae40	Analysis	Found Code	Found code from operand reference
0049e9a0	Analysis	Found Code	Found code from operand reference
0049eb90	Analysis	Found Code	Found code from operand reference
0049f410	Analysis	Found Code	Found code from operand reference
0049f430	Analysis	Found Code	Found code from operand reference
0049f540	Analysis	Found Code	Found code from operand reference
0049f910	Analysis	Found Code	Found code from operand reference
004a0420	Analysis	Found Code	Found code from operand reference
004a09e0	Analysis	Found Code	Found code from operand reference
004a1100	Analysis	Found Code	Found code from operand reference
004a1140	Analysis	Found Code	Found code from operand reference
004a2650	Analysis	Found Code	Found code from operand reference
004a2980	Analysis	Found Code	Found code from operand reference
004bbf80	Analysis	Found Code	Found code from operand reference
004bbfa0	Analysis	Found Code	Found code from operand reference
004bbfd0	Analysis	Found Code	Found code from operand reference
