address	length	data_type	value
005431c8	8	string	ceiling
005431d0	10	string	very_high
005431dc	10	string	turn_zero
005431e8	10	string	turn_high
005431f4	9	string	turn_low
00543200	7	string	angfac
00543208	13	string	low_airspeed
00543218	12	string	forward_mag
00543224	7	string	ay_mag
0054322c	7	string	ax_mag
0054325f	49	string	?we made space for... why did we use more?  \n
00543290	54	string	there is memory corruption because we used more than\n
005432c8	29	string	..\\shared\\collision\\cbsp.cpp
005432fc	15	string	Timer problems
0054330c	41	string	Your CPU has issues with keeping time...
00543348	20	string	Private Sequence %d
0054335c	48	string	got D_ERR (which is illegal) --> protocol error
0054338c	6	string	D_ACK
00543394	12	string	D_SET_START
005433a0	12	string	D_HANDSHAKE
005433ac	25	string	* Private In Stream %d *
005433c8	33	string	D_HANDSHAKE: insane stream_count
005433ec	9	string	D_IGNORE
005433f8	23	string	** resending packet **
00543410	10	string	CONNECTED
00543420	7	string	UNUSED
00543430	39	string	[NET] KILLING SOCKET:  IGNORING ERROR\n
00543458	39	string	[NET] KILLING SOCKET:  %d --> %d (%s)\n
00543480	27	string	[NET] KILLING SOCKET:  %d\n
0054349c	17	string	non_block_socket
005434b0	33	string	too many consecutive soft errors
005434d4	20	string	net.cpp: tcp_read()
005434e8	11	string	Con::Con()
005434f4	14	string	out of memory
00543504	7	string	%d.%s.
0054350c	18	string	%S.%M.%H.%d.%B.%Y
00543520	21	string	unsupported Net_type
00543538	11	string	Con::write
00543544	11	string	Con::match
00543550	21	string	unsupported net type
00543568	35	string	[NET] Adding local IP address: %s\n
0054358c	56	string	EXPECTING dotted decimal entries in ip-file!\n\tNOT '%s'\n
005435c4	12	string	%d.%d.%d.%d
005435d0	27	string	[NET] local host name: %s\n
005435ec	11	string	_extra_ips
005435f8	35	string	can't get nodelay on a tcp socket\n
0054361c	37	string	can't get keepalive on a tcp socket\n
00543644	18	string	CON is corrupted.
00543658	34	string	CON is unused (not setup/active).
0054367c	14	string	Net::send_udp
0054368c	11	string	%s %f: %s\n
00543698	15	string	..\\net\\net.cpp
005436a8	84	string	UDP socket is in the connected state, and it SHOULD NEVER BE IN THAT STATE ANYMORE!
005436fc	19	string	Net::send_udp (NC)
00543710	33	string	[NET] SCKT:  port<%hu>  ip<%lu>\n
00543734	22	string	Net::init_accept bind
0054374c	24	string	Net::init_accept socket
00543764	21	string	Bad Internet Address
0054377c	23	string	Net::read_udp recvfrom
00543794	23	string	Net::makesocket socket
005437ac	16	string	Net::makesocket
005437bc	10	string	sin==NULL
005437c8	19	string	can't find con ptr
005437dc	12	string	Net::kill()
005437e8	10	string	sad==NULL
