address	type	comment
1001e270	PLATE	Library Function - Single Match\n __shift\n\nLibrary: Visual Studio 1998 Release
1001e2a0	PLATE	Library Function - Single Match\n _free\n\nLibrary: Visual Studio 1998 Release
1001e2f0	PLATE	Library Function - Single Match\n __close\n\nLibrary: Visual Studio 1998 Release
1001e3c0	PLATE	Library Function - Single Match\n __freebuf\n\nLibrary: Visual Studio 1998 Release
1001e400	PLATE	Library Function - Single Match\n __input\n\nLibrary: Visual Studio 1998 Release
1001f0a0	PLATE	Library Function - Single Match\n __hextodec\n\nLibrary: Visual Studio 1998 Release
1001f0e0	PLATE	Library Function - Single Match\n __inc\n\nLibrary: Visual Studio 1998 Release
1001f110	PLATE	Library Function - Single Match\n __un_inc\n\nLibrary: Visual Studio 1998 Release
1001f130	PLATE	Library Function - Single Match\n __whiteout\n\nLibrary: Visual Studio 1998 Release
1001f160	PLATE	Library Function - Single Match\n __ioinit\n\nLibrary: Visual Studio 1998 Release
1001f340	PLATE	Library Function - Single Match\n __ioterm\n\nLibrary: Visual Studio 1998 Release
1001f370	PLATE	Library Function - Single Match\n __read\n\nLibrary: Visual Studio 1998 Release
1001f5e0	PLATE	Library Function - Single Match\n __getbuf\n\nLibrary: Visual Studio 1998 Release
1001f630	PLATE	Library Function - Single Match\n __openfile\n\nLibrary: Visual Studio 1998 Release
1001f840	PLATE	Library Function - Single Match\n __getstream\n\nLibrary: Visual Studio 1998 Release
1001fad0	PLATE	Library Function - Single Match\n __cintrindisp2\n\nLibraries: Visual Studio 1998, Visual Studio 2003, Visual Studio 2019
1001fb0e	PLATE	Library Function - Single Match\n __cintrindisp1\n\nLibraries: Visual Studio 1998, Visual Studio 2003, Visual Studio 2019
1001fb44	PLATE	Library Function - Single Match\n __ctrandisp2\n\nLibraries: Visual Studio 1998, Visual Studio 2003, Visual Studio 2019
1001fcb5	PLATE	Library Function - Single Match\n __ctrandisp1\n\nLibraries: Visual Studio 1998, Visual Studio 2003, Visual Studio 2019
1001fce1	PLATE	Library Function - Single Match\n __fload\n\nLibraries: Visual Studio 1998, Visual Studio 2003, Visual Studio 2019
1001fd20	PLATE	Library Function - Single Match\n __callnewh\n\nLibrary: Visual Studio 1998 Release
1001fd50	PLATE	Library Function - Single Match\n __heap_init\n\nLibrary: Visual Studio 1998 Release
1001fd90	PLATE	Library Function - Single Match\n __heap_term\n\nLibrary: Visual Studio 1998 Release
1001fdd0	PLATE	Library Function - Single Match\n ___sbh_new_region\n\nLibrary: Visual Studio 1998 Release
1001ff40	PLATE	Library Function - Single Match\n ___sbh_release_region\n\nLibrary: Visual Studio 1998 Release
1001ffa0	PLATE	Library Function - Single Match\n ___sbh_decommit_pages\n\nLibrary: Visual Studio 1998 Release
10020080	PLATE	Library Function - Single Match\n ___sbh_find_block\n\nLibrary: Visual Studio 1998 Release
100200e0	PLATE	Library Function - Single Match\n ___sbh_free_block\n\nLibrary: Visual Studio 1998 Release
10020130	PLATE	Library Function - Single Match\n ___sbh_alloc_block\n\nLibrary: Visual Studio 1998 Release
100203b0	PLATE	Library Function - Single Match\n ___sbh_alloc_block_from_page\n\nLibrary: Visual Studio 1998 Release
10020530	PLATE	Library Function - Single Match\n ___sbh_resize_block\n\nLibrary: Visual Studio 1998 Release
10020600	PLATE	Library Function - Single Match\n __allmul\n\nLibrary: Visual Studio 1998 Release
10020640	PLATE	Library Function - Single Match\n __mbsnbicoll\n\nLibrary: Visual Studio 1998 Release
10020680	PLATE	Library Function - Single Match\n ___wtomb_environ\n\nLibrary: Visual Studio 1998 Release
10020710	PLATE	Library Function - Single Match\n __flsbuf\n\nLibrary: Visual Studio 1998 Release
10020860	PLATE	Library Function - Single Match\n __output\n\nLibrary: Visual Studio 1998 Release
10021210	PLATE	Library Function - Single Match\n _write_char\n\nLibrary: Visual Studio 1998 Release
10021260	PLATE	Library Function - Single Match\n _write_multi_char\n\nLibrary: Visual Studio 1998 Release
100212a0	PLATE	Library Function - Single Match\n _write_string\n\nLibrary: Visual Studio 1998 Release
100212e0	PLATE	Library Function - Single Match\n _get_int_arg\n\nLibrary: Visual Studio 1998 Release
100212f0	PLATE	Library Function - Single Match\n _get_int64_arg\n\nLibrary: Visual Studio 1998 Release
10021310	PLATE	Library Function - Single Match\n _get_short_arg\n\nLibrary: Visual Studio 1998 Release
10021320	PLATE	Library Function - Single Match\n __stbuf\n\nLibrary: Visual Studio 1998 Release
100213c0	PLATE	Library Function - Single Match\n __ftbuf\n\nLibrary: Visual Studio 1998 Release
10021410	PLATE	Library Function - Single Match\n _fwrite\n\nLibrary: Visual Studio 1998 Release
10021590	PLATE	Library Function - Single Match\n __setenvp\n\nLibrary: Visual Studio 1998 Release
10021680	PLATE	Library Function - Single Match\n __setargv\n\nLibrary: Visual Studio 1998 Release
10021720	PLATE	Library Function - Single Match\n _parse_cmdline\n\nLibrary: Visual Studio 1998 Release
10021900	PLATE	Library Function - Single Match\n __setmbcp\n\nLibrary: Visual Studio 1998 Release
10021ae0	PLATE	Library Function - Single Match\n _getSystemCP\n\nLibrary: Visual Studio 1998 Release
10021b30	PLATE	Library Function - Single Match\n _CPtoLCID\n\nLibrary: Visual Studio 1998 Release
10021b90	PLATE	Library Function - Single Match\n _setSBCS\n\nLibrary: Visual Studio 1998 Release
10021bc0	PLATE	Library Function - Single Match\n ___initmbctable\n\nLibrary: Visual Studio 1998 Release
10021bd0	PLATE	Library Function - Single Match\n ___crtGetEnvironmentStringsA\n\nLibrary: Visual Studio 1998 Release
10021d70	PLATE	Library Function - Single Match\n _DllMain@12\n\nLibrary: Visual Studio 1998 Release
10021da0	PLATE	Library Function - Single Match\n __FF_MSGBANNER\n\nLibrary: Visual Studio 1998 Release
10021de0	PLATE	Library Function - Single Match\n __NMSG_WRITE\n\nLibrary: Visual Studio 1998 Release
10021fe0	PLATE	Library Function - Single Match\n _calloc\n\nLibrary: Visual Studio 1998 Release
10022080	PLATE	Library Function - Single Match\n __fcloseall\n\nLibrary: Visual Studio 1998 Release
10022100	PLATE	Library Function - Single Match\n __commit\n\nLibrary: Visual Studio 1998 Release
10022170	PLATE	Library Function - Single Match\n __write\n\nLibrary: Visual Studio 1998 Release
100223a0	PLATE	Library Function - Single Match\n ___crtLCMapStringW\n\nLibrary: Visual Studio 1998 Release
100225b0	PLATE	Library Function - Single Match\n _wcsncnt\n\nLibrary: Visual Studio 1998 Release
100225f0	PLATE	Library Function - Single Match\n ___crtLCMapStringA\n\nLibrary: Visual Studio 1998 Release
10022820	PLATE	Library Function - Single Match\n _strncnt\n\nLibrary: Visual Studio 1998 Release
10022850	PLATE	Library Function - Single Match\n ___crtGetStringTypeW\n\nLibrary: Visual Studio 1998 Release
